query,scale,partitining_avg_osqp,nf2_sparsev_avg_osqp,difference
q1,100,331.04489279999996,356.02288200000004,0.07015838156155389
q1,1000,3863.7791524,3877.3783804,0.0035073254827910575
q1,10000,2090663.4913362,2056215.3777368001,0.016477120178428655
q2,100,286.47085860000004,273.29484820000005,0.04599424340888261
q2,1000,3275.6442064,3367.3838892,0.027243606852854242
q2,10000,1652349.6319636,1617393.5554650002,0.02115537524407533
q3,100,341.5303874,311.151348,0.08894974069882723
q3,1000,3490.2007822,3598.3767404,0.030062432592306884
q3,10000,2203953.844395,1951454.3583134003,0.11456659436119566
q4,100,173.4229408,196.15515399999998,0.11588894166910339
q4,1000,682.615385,633.3021812,0.07224156513847106
q4,10000,14691.363585,14065.3237434,0.042612779812977376
q5,100,186.6596172,232.5688678,0.19740067118304122
q5,1000,692.6032266,675.7611052,0.02431712812352641
q5,10000,25961.7160156,26306.3502156,0.013100798749179124
